title,url,preview,image_url,date,category,page_number,date_range
Cek Fakta: Klarifikasi Polisi soal Kabar Viral...,https://turnbackhoax.id/articles/27334-cek-fakta-klarifikasi-polisi-soal-kabar-viral-pejalan-kaki-bisa-kena-tilang-etle,"Liputan6.com, Jakarta - Kabar tentang pejalan kaki bisa kena...",https://cdn0-production-images-kly.akamaized.net/UU0Ja4DU2fiL7MN2cxAiYVpUIoA=/640x360/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/5249187/original/085359700_1749630481-PejalanKaki.jpg,11/06/2025,Uncategorized,32,June 2025
Menyesatkan: Video-video tentang Papua Nugini akan Gabung...,https://turnbackhoax.id/articles/27353-menyesatkan-video-video-tentang-papua-nugini-akan-gabung-ke-indonesia,AKUN-AKUN di YouTube mempublikasikan video dengan klaim serupa: Papua...,https://statik.tempo.co/data/2025/06/13/id_1405346/1405346_720.jpg,13/06/2025,Uncategorized,31,June 2025
Keliru: Narasi Kerusakan Alam Raja Ampat Hanya...,https://turnbackhoax.id/articles/27352-keliru-narasi-kerusakan-alam-raja-ampat-hanya-hoaks,"SEJUMLAH akun di media sosial, seperti akun 1 dan...",https://statik.tempo.co/data/2025/06/12/id_1405266/1405266_720.jpg,12/06/2025,Uncategorized,31,June 2025
[SALAH] Pesan Berantai Proses Pembuatan Beras dari...,https://turnbackhoax.id/articles/27343--salah-pesan-berantai-proses-pembuatan-beras-dari-botol-bekas,Pada Minggu (1/6/2025) beredar sebuah pesan berantai (broadcast) di...,https://yudistira.turnbackhoax.id/uploads/2025/06/pelet-plastik-HEADER.png,12/06/2025,Uncategorized,31,June 2025
[SALAH] Penegasan Nadiem Makarim Berbagi Uang Pengadaan...,https://turnbackhoax.id/articles/27342--salah-penegasan-nadiem-makarim-berbagi-uang-pengadaan-laptop-dengan-jokowi,Pada Minggu (1/5/2025) beredar sebuah unggahan di X (arsip...,https://yudistira.turnbackhoax.id/uploads/2025/06/nadiem-tempo-Fabricated-HEADER.png,12/06/2025,Uncategorized,31,June 2025
Chat audio grup WhatsApp modus penipuan baru...,https://turnbackhoax.id/articles/27351-chat-audio-grup-whatsapp-modus-penipuan-baru-hacker-benarkah-,Jakarta (ANTARA/JACX) – Informasi tentang fitur chat audio di...,https://img.antaranews.com/cache/730x487/2025/06/12/Hoaks-Chat-Audio-WA.jpg,12/06/2025,Uncategorized,31,June 2025
"Cek fakta, foto kebakaran area pertambangan di...",https://turnbackhoax.id/articles/27350-cek-fakta-foto-kebakaran-area-pertambangan-di-raja-ampat,Jakarta (ANTARA/JACX) – Sebuah unggahan foto yang dinarasikan di...,https://img.antaranews.com/cache/730x487/2025/06/11/WhatsApp-Image-2025-06-11-at-21.15.48.jpeg,12/06/2025,Uncategorized,31,June 2025
[HOAKS] Tautan Pendaftaran Program Bantuan Bedah Rumah...,https://turnbackhoax.id/articles/27349--hoaks-tautan-pendaftaran-program-bantuan-bedah-rumah-2025,"KOMPAS.com - Di internet, terutama media sosial, beredar poster...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,12/06/2025,Uncategorized,31,June 2025
[HOAKS] Tautan Undian Berhadiah Rp 3 Miliar...,https://turnbackhoax.id/articles/27348--hoaks-tautan-undian-berhadiah-rp-3-miliar-atas-nama-bpd-bali,KOMPAS.com - Di media sosial beredar informasi dan tautan...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,11/06/2025,Uncategorized,31,June 2025
[HOAKS] Mendagri Tito Karnavian adalah Anak Kandung...,https://turnbackhoax.id/articles/27347--hoaks-mendagri-tito-karnavian-adalah-anak-kandung-tokoh-pki-dn-aidit,KOMPAS.com - Beredar unggahan media sosial dengan narasi yang...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,11/06/2025,Uncategorized,31,June 2025
Cek Fakta: Hoaks Video Candi Borobudur Terbakar...,https://turnbackhoax.id/articles/27346-cek-fakta-hoaks-video-candi-borobudur-terbakar-pada-3-juni-2025,"Liputan6.com, Jakarta - Sebuah video yang diklaim Candi Borobudur,...",https://cdn0-production-images-kly.akamaized.net/_KI2W2W5L8h2caFj9Yi4EOXgV9g=/640x360/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/5250400/original/000395400_1749717357-Kebakaran.jpg,12/06/2025,Uncategorized,31,June 2025
[HOAKS] Jokowi Antar Roy Suryo dkk ke...,https://turnbackhoax.id/articles/27364--hoaks-jokowi-antar-roy-suryo-dkk-ke-nusakambangan,KOMPAS.com - Di media sosial beredar foto yang diklaim...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,12/06/2025,Uncategorized,30,June 2025
Cek Fakta: Hoaks Tautan Pendaftaran Bantuan Alat...,https://turnbackhoax.id/articles/27363-cek-fakta-hoaks-tautan-pendaftaran-bantuan-alat-pertanian-dari-kementan,"Liputan6.com, Jakarta - Beredar di media sosial postingan tautan...",https://cdn1-production-images-kly.akamaized.net/_RHLYTjr-R8oeEW8HeSddNu-Hdk=/640x360/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/5251473/original/005920400_1749797781-cek_fakta_bantuan_alat.jpg,13/06/2025,Uncategorized,30,June 2025
Hoaks! Video sejumlah pejabat ditangkap mulai dari...,https://turnbackhoax.id/articles/27362-hoaks-video-sejumlah-pejabat-ditangkap-mulai-dari-kapolri-hingga-wapres-gibran,Jakarta (ANTARA/JACX) – Sebuah unggahan video di X memperlihatkan...,https://img.antaranews.com/cache/730x487/2025/06/12/WhatsApp-Image-2025-06-12-at-12.57.10.jpeg,13/06/2025,Uncategorized,30,June 2025
[HOAKS] Foto Helikopter Jatuh di Kota Palu...,https://turnbackhoax.id/articles/27361--hoaks-foto-helikopter-jatuh-di-kota-palu-pada-juni-2025,KOMPAS.com - Beredar unggahan foto dengan narasi sebuah helikopter...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,12/06/2025,Uncategorized,30,June 2025
[HOAKS] Video Rocky Gerung Promosi Situs Judi,https://turnbackhoax.id/articles/27360--hoaks-video-rocky-gerung-promosi-situs-judi,KOMPAS.com - Sebuah video yang beredar di media sosial...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,12/06/2025,Uncategorized,30,June 2025
[HOAKS] Foto Najwa Shihab Ditangkap Polisi pada...,https://turnbackhoax.id/articles/27359--hoaks-foto-najwa-shihab-ditangkap-polisi-pada-juni-2025,KOMPAS.com - Di media sosial beredar foto jurnalis Najwa...,https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,12/06/2025,Uncategorized,30,June 2025
Cek Fakta: Tidak Benar Foto Helikopter Jatuh...,https://turnbackhoax.id/articles/27358-cek-fakta-tidak-benar-foto-helikopter-jatuh-di-palu-sulteng-pada-10-juni-2025,"Liputan6.com, Jakarta - Sebuah foto yang diklaim sebuah helikopter...",https://cdn1-production-images-kly.akamaized.net/piYd3Bcs8MeUhX5hw6JjCC2u7Q4=/640x360/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/5251088/original/010606900_1749783476-Heli.jpg,13/06/2025,Uncategorized,30,June 2025
