title,url,preview,image_url,date,category,page_number,date_range
[SALAH] Indonesia Kirim 20 Ribu Pasukan ke...,https://turnbackhoax.id/articles/29647--salah-indonesia-kirim-20-ribu-pasukan-ke-gaza-membantu-perdamaian-pasca-kemerdekaan-palestina,Beredar video [arsip] dari akun tiktok “dewisrikandiblora1” pada Minggu...,https://yudistira.turnbackhoax.id/uploads/2025/10/HEADER-Dark-Background-16-678x381.png,23/10/2025,Politik,14,October 2025
"[SALAH] Video ""TNI Tangkap Kapal Nelayan Malaysia...",https://turnbackhoax.id/articles/29646--salah-video-tni-tangkap-kapal-nelayan-malaysia-di-ambalat-,Akun Facebook “MediaHiburan.com” pada Senin (22/9/2025) membagikan video [arsip]...,https://yudistira.turnbackhoax.id/uploads/2025/10/HEADER-Light-Background-16-1-678x381.png,23/10/2025,Politik,14,October 2025
[SALAH] Natuna Utara Jadi Jaminan Utang Kereta...,https://turnbackhoax.id/articles/29645--salah-natuna-utara-jadi-jaminan-utang-kereta-cepat-whoosh,Akun Facebook “Tory Job” pada Senin (20/10/2025) membagikan video...,https://yudistira.turnbackhoax.id/uploads/2025/10/6325320688012561462-678x381.jpg,23/10/2025,Politik,14,October 2025
[SALAH] Nadiem Makarim Ditahan Polisi Militer,https://turnbackhoax.id/articles/29642--salah-nadiem-makarim-ditahan-polisi-militer,Akun Threads “neneng_kulsum” pada Kamis (16/10/2025) mengunggah video [arsip]...,https://yudistira.turnbackhoax.id/uploads/2025/10/image-95-678x381.png,23/10/2025,Politik,14,October 2025
Hoaks Ustaz Adi Hidayat Bagikan Rp1 Miliar...,https://turnbackhoax.id/articles/29652-hoaks-ustaz-adi-hidayat-bagikan-rp1-miliar-untuk-tki,tirto.id - Beredar sebuah video di Facebook yang menampilkan...,"https://mmc.tirto.id/image/otf/1240x0,q80/2025/10/23/header-periksa-fakta-hoaks-ustaz-adi-hidayat-bagikan-rp1-miliar-ke-tki_ratio-16x9.jpg",23/10/2025,Uncategorized,14,October 2025
Video Jokowi Menegur Purbaya Soal Utang Kereta...,https://turnbackhoax.id/articles/29651-video-jokowi-menegur-purbaya-soal-utang-kereta-cepat-benarkah-,"tirto.id - Baru-baru ini, Menteri Keuangan (Menkeu) Purbaya Yudhi...","https://mmc.tirto.id/image/otf/1240x0,q80/2025/10/22/header-periksa-fakta---hoaks-video-jokowi-marah-soal-purbaya-tolak-bayar-utang-kereta-cepat_ratio-16x9.jpg",23/10/2025,Uncategorized,14,October 2025
Cek Fakta: Hoaks Tautan Pendaftaran Menjadi Petugas...,https://turnbackhoax.id/articles/29650-cek-fakta-hoaks-tautan-pendaftaran-menjadi-petugas-haji-2026,"Liputan6.com, Jakarta - Beredar kembali di media sosial postingan...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,23/10/2025,Uncategorized,14,October 2025
Cek Fakta: Tidak Benar Ini Link untuk...,https://turnbackhoax.id/articles/29644-cek-fakta-tidak-benar-ini-link-untuk-periksa-status-penerima-blt-kesra-2025,"Liputan6.com, Jakarta - Cek Fakta Liputan6.com mendapati klaim link...",https://dummyimage.com/877x678/d9d9d9/404040.png&text=Dummy+Image,23/10/2025,Uncategorized,14,October 2025
Keliru: Video Denny Sumargo Mempromosikan Judi Online,https://turnbackhoax.id/articles/29643-keliru-video-denny-sumargo-mempromosikan-judi-online,SEBUAH video menampilkan pria mirip Denny Sumargo tengah mempromosikan...,https://statik.tempo.co/data/2025/10/23/id_1436614/1436614_720.jpg,23/10/2025,Uncategorized,15,October 2025
Tidak Benar Menteri Purbaya Sebut Pertamina Kelewat...,https://turnbackhoax.id/articles/29641-tidak-benar-menteri-purbaya-sebut-pertamina-kelewat-pintar,tirto.id - Sebuah unggahan yang mencatut Menteri Keungan Purbaya...,"https://mmc.tirto.id/image/otf/1240x0,q80/2025/10/22/header-periksa-fakta---purbaya-sebut-pertamina-jual-minyak-ke-singapura_ratio-16x9.jpg",23/10/2025,Uncategorized,15,October 2025
